,latitude,longitude,num_of_bikes
0,45.51195046,-122.6141596,0
1,45.54827571,-122.6111636,1
2,45.553917,-122.6020709,1
3,45.51658489,-122.6160378,2
4,45.49333654,-122.6233971,0
5,45.50280906,-122.6535398,4
6,45.52175423,-122.6810794,2
7,45.50512504,-122.6533681,5
8,45.50356665,-122.6395279,2
9,45.51623176,-122.6360679,1
10,45.51147657,-122.6662856,12
11,45.51844688,-122.651685,0
12,45.51515295,-122.665776,4
13,45.51645917,-122.6189983,4
14,45.52373453,-122.6372065,1
15,45.52536699,-122.6725459,2
16,45.52976024,-122.6966429,3
17,45.53232501,-122.6824299,1
18,45.52196048,-122.6896772,5
19,45.51299715,-122.6567262,4
20,45.52374151,-122.6818129,1
21,45.52634601,-122.6941484,3
22,45.52826831,-122.6945615,1
23,45.56282546,-122.6747467,0
24,45.5286366,-122.6820195,1
25,45.5282777,-122.6766282,2
26,45.53211645,-122.6986304,1
27,45.5475928,-122.6667604,11
28,45.5027677,-122.6714408,0
29,45.52914205,-122.6987028,1
30,45.54998583,-122.6756573,6
31,45.55076344,-122.6668663,0
32,45.54107815,-122.6769716,0
33,45.52142066,-122.6726291,4
34,45.52279251,-122.6840124,4
35,45.50910258,-122.6735169,1
36,45.5123205,-122.6789108,1
37,45.50473239,-122.62528,5
38,45.54830706,-122.6136768,0
39,45.51189243,-122.6113057,7
40,45.53290424,-122.68626,1
41,45.52642975,-122.6347187,0
42,45.50523618,-122.6121104,0
43,45.56267617,-122.6946044,0
44,45.53893649,-122.6432884,1
45,45.51649676,-122.6307517,3
46,45.51633325,-122.6566324,1
47,45.55335313,-122.6669146,6
48,45.51222277,-122.6454261,0
49,45.54125782,-122.6966717,0
50,45.52643433,-122.6362449,3
51,45.55905507,-122.6427104,6
52,45.55908767,-122.6407517,4
53,45.53561394,-122.6636343,2
54,45.56197102,-122.6820369,1
55,45.49429475,-122.6719048,0
56,45.53146071,-122.659741,3
57,45.53140997,-122.6574612,1
58,45.55645437,-122.6603794,0
59,45.52440674,-122.6497686,0
60,45.52297292,-122.6434118,0
61,45.50624163,-122.6633379,0
62,45.51202353,-122.6363119,5
63,45.55916922,-122.6514316,1
64,45.55913676,-122.6554307,0
65,45.52358836,-122.6619177,1
66,45.52507854,-122.6775563,1
67,45.5048393,-122.6296306,13
68,45.50468892,-122.6345551,2
69,45.51544427,-122.6846749,1
70,45.51507401,-122.6870298,2
71,45.50971347,-122.6777159,0
72,45.49913657,-122.6716433,0
73,45.53550403,-122.7006608,1
74,45.53409115,-122.6949424,2
75,45.53083126,-122.6815957,1
76,45.53080401,-122.6844227,3
77,45.53142501,-122.6895659,1
78,45.55902314,-122.6355462,2
79,45.56453067,-122.6305372,2
80,45.55568352,-122.6506644,3
81,45.54828551,-122.6508106,4
82,45.56251948,-122.6770306,1
83,45.55522233,-122.6818612,2
84,45.52649493,-122.6416328,3
85,45.53086696,-122.6658887,8
86,45.55458563,-122.6755413,1
87,45.55941042,-122.6685226,8
88,45.52487653,-122.6965141,2
89,45.53508224,-122.6505639,0
90,45.51936283,-122.6359928,2
91,45.5033655,-122.6447314,10
92,45.51636144,-122.6460457,6
93,45.5627419,-122.6889932,0
94,45.50936198,-122.6812121,1
95,45.56274555,-122.6480594,0
96,45.56271655,-122.6350486,8
97,45.52279251,-122.6566163,7
98,45.51186486,-122.6210475,0
99,45.52771962,-122.6603526,2
100,45.53400578,-122.6555675,0
101,45.53966541,-122.6118851,3
102,45.5559258,-122.6008129,1
103,45.55836114,-122.6203609,3
104,45.52646211,-122.6093034,5
105,45.52181825,-122.7044079,0
106,45.52862062,-122.6905073,2
107,45.56250716,-122.5943702,2
108,45.53677138,-122.61884,2
109,45.53479718,-122.6686594,0
110,45.49787392,-122.6375156,2
111,45.53689808,-122.6199692,2
112,45.51556831,-122.6738924,0
113,45.50350608,-122.6110657,0
114,45.5301398,-122.6546824,2
115,45.49334301,-122.6369745,1
116,45.49684155,-122.6276927,1
117,45.50225355,-122.6753193,1
118,45.52996934,-122.6632373,0
119,45.51434624,-122.6558371,1
120,45.52500056,-122.6811048,0
121,45.51782551,-122.6724963,1
122,45.51889487,-122.6774061,1
123,45.52269573,-122.6703492,7
124,45.51946243,-122.6795143,9
125,45.51803412,-122.6755071,1
126,45.5211726,-122.6763654,3
127,45.54179953,-122.6614845,8
128,45.52247868,-122.6732969,3
129,45.51898132,-122.6812685,2
130,45.53434532,-122.6848841,0
131,45.5120668,-122.6536974,7
132,45.5200329,-122.7061544,1
133,45.5041321,-122.5451016,0
134,45.52384,-122.673508,2
135,45.526473,-122.6026943,5
136,45.5891923,-122.7389314,0
137,45.5152252,-122.6783454,0
138,45.5127694,-122.6834745,0
139,45.5105937,-122.6854322,3
140,45.5229692,-122.6790213,1
141,45.491114,-122.648666,1
142,45.5664147,-122.6607857,0
143,45.5696768,-122.6820685,2
144,45.5717805,-122.6564844,1
145,45.5517567,-122.5398468,4
146,45.5627673,-122.6598278,0
147,45.5590714,-122.646602,6
148,45.5335216,-122.5582468,0
149,45.576983,-122.6819395,0
150,45.5477847,-122.6812779,0
151,45.4950271,-122.6076627,3
152,45.5140185,-122.5642134,0
153,45.5311,-122.56249,0
154,45.5653576,-122.5887471,0
155,45.5191725,-122.5822778,1
156,45.584012,-122.6867319,0
157,45.5664345,-122.6205956,0
158,45.5760937,-122.7290524,5
159,45.53577751,-122.620613,2
160,45.5103826,-122.6672484,4
161,45.5554316,-122.5890544,3
162,45.5842278,-122.7460359,3
163,45.5159726,-122.6791195,1
164,45.5482433,-122.6409548,0
165,45.5130553,-122.6877767,1
166,45.5127415,-122.6860864,0
167,45.4994679,-122.6854443,0
168,45.5604984,-122.6621038,1
169,45.5081532,-122.5978065,2
170,45.4902606,-122.5785721,0
171,45.5237418,-122.6703424,2
172,45.5739428,-122.7203393,0
173,45.5420646,-122.6308254,0
174,45.5699526,-122.695712,1
175,45.5225034,-122.557861,0
176,45.5464321,-122.5933109,1
177,45.5590435,-122.6340066,2
178,45.5372206,-122.6875394,2
179,45.5114539,-122.6856399,0
180,45.5840852,-122.7194481,1
181,45.5268753,-122.5377007,0
182,45.4863971,-122.5889343,11
183,45.5849334,-122.7309533,0
184,45.5445104,-122.5799572,0
185,45.5901519,-122.7547835,2
186,45.55862047843104,-122.5638759,0
187,45.511907,-122.6294804,3
188,45.4970894,-122.686551,0
189,45.51184309,-122.68372,1
190,45.5886277,-122.7157775,3
191,45.5239729,-122.6932457,0
192,45.5868448,-122.7591351,1
193,45.5338491,-122.5470577,0
194,45.5220396,-122.537573,0
195,45.5591179,-122.6535114,1
196,45.5510308,-122.5814223,0
197,45.5257231,-122.6854375,3
198,45.52556242,-122.6892561,0
199,45.5625479,-122.6848349,0
200,45.52871176,-122.674166,3
201,45.5264482,-122.583548,1
202,45.50509011,-122.57900777,0
203,45.5935627,-122.7354239,0
204,45.5190613,-122.5584874,1
205,45.5337829,-122.5788583,3
206,45.5446211,-122.667667,5
207,45.53344,-122.55386,1
208,45.569917,-122.6744197,1
209,45.5628283,-122.6093459,2
210,45.5092949,-122.6846036,3
211,45.4976098,-122.5818846,0
212,45.519326,-122.5468687,1
213,45.5870144,-122.6951643,0
214,45.5616203,-122.6616835,0
215,45.4990782,-122.6837991,0
216,45.5014076,-122.5788622,0
217,45.5258454,-122.6814197,1
218,45.53496857,-122.653631,2
219,45.4900193,-122.5688739,2
220,45.5205931,-122.637238,0
221,45.588297,-122.7380898,3
222,45.4988159,-122.6540982,2
223,45.4797127,-122.5686256,0
224,45.5422831,-122.6037107,3
225,45.51158277,-122.682281,1
226,45.4941194,-122.5786536,0
227,45.5181656,-122.639145,0
228,45.55891838,-122.6824003,2
229,45.5226089,-122.5804512,0
230,45.5808002,-122.7133655,2
231,45.51788377,-122.6920402,2
232,45.4902649,-122.5979411,0
233,45.5965621,-122.7478995,1
234,45.5178988,-122.6600522,1
