bike_station_location,latitude,longitude,num_of_bikes
"45.51195046,-122.6141596",45.51195046,-122.6141596,3
"45.54827571,-122.6111636",45.54827571,-122.6111636,6
"45.553917,-122.6020709",45.553917,-122.6020709,6
"45.51658489,-122.6160378",45.51658489,-122.6160378,3
"45.49333654,-122.6233971",45.49333654,-122.6233971,3
"45.50280906,-122.6535398",45.50280906,-122.6535398,10
"45.52175423,-122.6810794",45.52175423,-122.6810794,17
"45.50512504,-122.6533681",45.50512504,-122.6533681,18
"45.50356665,-122.6395279",45.50356665,-122.6395279,6
"45.51623176,-122.6360679",45.51623176,-122.6360679,14
"45.51147657,-122.6662856",45.51147657,-122.6662856,16
"45.51844688,-122.651685",45.51844688,-122.651685,18
"45.51515295,-122.665776",45.51515295,-122.665776,10
"45.51645917,-122.6189983",45.51645917,-122.6189983,11
"45.52373453,-122.6372065",45.52373453,-122.6372065,5
"45.52536699,-122.6725459",45.52536699,-122.6725459,14
"45.52976024,-122.6966429",45.52976024,-122.6966429,10
"45.53232501,-122.6824299",45.53232501,-122.6824299,18
"45.52196048,-122.6896772",45.52196048,-122.6896772,18
"45.51299715,-122.6567262",45.51299715,-122.6567262,6
"45.52374151,-122.6818129",45.52374151,-122.6818129,18
"45.52634601,-122.6941484",45.52634601,-122.6941484,10
"45.52826831,-122.6945615",45.52826831,-122.6945615,12
"45.56282546,-122.6747467",45.56282546,-122.6747467,15
"45.5286366,-122.6820195",45.5286366,-122.6820195,14
"45.5282777,-122.6766282",45.5282777,-122.6766282,12
"45.53211645,-122.6986304",45.53211645,-122.6986304,14
"45.5475928,-122.6667604",45.5475928,-122.6667604,18
"45.5027677,-122.6714408",45.5027677,-122.6714408,19
"45.52914205,-122.6987028",45.52914205,-122.6987028,18
"45.54998583,-122.6756573",45.54998583,-122.6756573,18
"45.55076344,-122.6668663",45.55076344,-122.6668663,12
"45.54107815,-122.6769716",45.54107815,-122.6769716,12
"45.52142066,-122.6726291",45.52142066,-122.6726291,18
"45.52279251,-122.6840124",45.52279251,-122.6840124,18
"45.50910258,-122.6735169",45.50910258,-122.6735169,27
"45.5123205,-122.6789108",45.5123205,-122.6789108,12
"45.50473239,-122.62528",45.50473239,-122.62528,3
"45.54830706,-122.6136768",45.54830706,-122.6136768,12
"45.51189243,-122.6113057",45.51189243,-122.6113057,5
"45.53290424,-122.68626",45.53290424,-122.68626,18
"45.52642975,-122.6347187",45.52642975,-122.6347187,3
"45.50523618,-122.6121104",45.50523618,-122.6121104,3
"45.56267617,-122.6946044",45.56267617,-122.6946044,3
"45.53893649,-122.6432884",45.53893649,-122.6432884,12
"45.51649676,-122.6307517",45.51649676,-122.6307517,12
"45.51633325,-122.6566324",45.51633325,-122.6566324,18
"45.55335313,-122.6669146",45.55335313,-122.6669146,12
"45.51222277,-122.6454261",45.51222277,-122.6454261,13
"45.54125782,-122.6966717",45.54125782,-122.6966717,2
"45.52643433,-122.6362449",45.52643433,-122.6362449,3
"45.55905507,-122.6427104",45.55905507,-122.6427104,5
"45.55908767,-122.6407517",45.55908767,-122.6407517,5
"45.53561394,-122.6636343",45.53561394,-122.6636343,12
"45.56197102,-122.6820369",45.56197102,-122.6820369,8
"45.49429475,-122.6719048",45.49429475,-122.6719048,15
"45.53146071,-122.659741",45.53146071,-122.659741,8
"45.53140997,-122.6574612",45.53140997,-122.6574612,8
"45.55645437,-122.6603794",45.55645437,-122.6603794,18
"45.52440674,-122.6497686",45.52440674,-122.6497686,18
"45.52297292,-122.6434118",45.52297292,-122.6434118,11
"45.50624163,-122.6633379",45.50624163,-122.6633379,18
"45.51202353,-122.6363119",45.51202353,-122.6363119,18
"45.55916922,-122.6514316",45.55916922,-122.6514316,3
"45.55913676,-122.6554307",45.55913676,-122.6554307,5
"45.52358836,-122.6619177",45.52358836,-122.6619177,6
"45.52507854,-122.6775563",45.52507854,-122.6775563,18
"45.5048393,-122.6296306",45.5048393,-122.6296306,18
"45.50468892,-122.6345551",45.50468892,-122.6345551,18
"45.51544427,-122.6846749",45.51544427,-122.6846749,11
"45.51507401,-122.6870298",45.51507401,-122.6870298,10
"45.50971347,-122.6777159",45.50971347,-122.6777159,18
"45.49913657,-122.6716433",45.49913657,-122.6716433,18
"45.53550403,-122.7006608",45.53550403,-122.7006608,18
"45.53409115,-122.6949424",45.53409115,-122.6949424,14
"45.53083126,-122.6815957",45.53083126,-122.6815957,18
"45.53080401,-122.6844227",45.53080401,-122.6844227,17
"45.53142501,-122.6895659",45.53142501,-122.6895659,12
"45.55902314,-122.6355462",45.55902314,-122.6355462,5
"45.56453067,-122.6305372",45.56453067,-122.6305372,3
"45.55568352,-122.6506644",45.55568352,-122.6506644,3
"45.54828551,-122.6508106",45.54828551,-122.6508106,6
"45.56251948,-122.6770306",45.56251948,-122.6770306,3
"45.55522233,-122.6818612",45.55522233,-122.6818612,18
"45.52649493,-122.6416328",45.52649493,-122.6416328,12
"45.53086696,-122.6658887",45.53086696,-122.6658887,14
"45.55458563,-122.6755413",45.55458563,-122.6755413,12
"45.55941042,-122.6685226",45.55941042,-122.6685226,18
"45.52487653,-122.6965141",45.52487653,-122.6965141,18
"45.53508224,-122.6505639",45.53508224,-122.6505639,12
"45.51936283,-122.6359928",45.51936283,-122.6359928,17
"45.5033655,-122.6447314",45.5033655,-122.6447314,18
"45.51636144,-122.6460457",45.51636144,-122.6460457,12
"45.5627419,-122.6889932",45.5627419,-122.6889932,5
"45.50936198,-122.6812121",45.50936198,-122.6812121,12
"45.56274555,-122.6480594",45.56274555,-122.6480594,3
"45.56271655,-122.6350486",45.56271655,-122.6350486,8
"45.52279251,-122.6566163",45.52279251,-122.6566163,14
"45.51186486,-122.6210475",45.51186486,-122.6210475,8
"45.52771962,-122.6603526",45.52771962,-122.6603526,8
"45.53400578,-122.6555675",45.53400578,-122.6555675,8
"45.53966541,-122.6118851",45.53966541,-122.6118851,8
"45.5559258,-122.6008129",45.5559258,-122.6008129,8
"45.55836114,-122.6203609",45.55836114,-122.6203609,8
"45.52646211,-122.6093034",45.52646211,-122.6093034,8
"45.52181825,-122.7044079",45.52181825,-122.7044079,10
"45.52862062,-122.6905073",45.52862062,-122.6905073,15
"45.56250716,-122.5943702",45.56250716,-122.5943702,8
"45.53677138,-122.61884",45.53677138,-122.61884,4
"45.53479718,-122.6686594",45.53479718,-122.6686594,12
"45.49787392,-122.6375156",45.49787392,-122.6375156,6
"45.53689808,-122.6199692",45.53689808,-122.6199692,7
"45.51556831,-122.6738924",45.51556831,-122.6738924,18
"45.50350608,-122.6110657",45.50350608,-122.6110657,5
"45.5301398,-122.6546824",45.5301398,-122.6546824,12
"45.49334301,-122.6369745",45.49334301,-122.6369745,5
"45.49684155,-122.6276927",45.49684155,-122.6276927,9
"45.50225355,-122.6753193",45.50225355,-122.6753193,3
"45.52996934,-122.6632373",45.52996934,-122.6632373,9
"45.51434624,-122.6558371",45.51434624,-122.6558371,5
"45.52500056,-122.6811048",45.52500056,-122.6811048,16
"45.51782551,-122.6724963",45.51782551,-122.6724963,18
"45.51889487,-122.6774061",45.51889487,-122.6774061,20
"45.52269573,-122.6703492",45.52269573,-122.6703492,18
"45.51946243,-122.6795143",45.51946243,-122.6795143,18
"45.51803412,-122.6755071",45.51803412,-122.6755071,12
"45.5211726,-122.6763654",45.5211726,-122.6763654,18
"45.54179953,-122.6614845",45.54179953,-122.6614845,18
"45.52247868,-122.6732969",45.52247868,-122.6732969,18
"45.51898132,-122.6812685",45.51898132,-122.6812685,20
"45.53434532,-122.6848841",45.53434532,-122.6848841,5
"45.5120668,-122.6536974",45.5120668,-122.6536974,7
"45.5200329,-122.7061544",45.5200329,-122.7061544,9
"45.5041321,-122.5451016",45.5041321,-122.5451016,8
"45.52384,-122.673508",45.52384,-122.673508,7
"45.526473,-122.6026943",45.526473,-122.6026943,7
"45.5891923,-122.7389314",45.5891923,-122.7389314,9
"45.5152252,-122.6783454",45.5152252,-122.6783454,6
"45.5127694,-122.6834745",45.5127694,-122.6834745,4
"45.5105937,-122.6854322",45.5105937,-122.6854322,4
"45.5229692,-122.6790213",45.5229692,-122.6790213,9
"45.491114,-122.648666",45.491114,-122.648666,4
"45.5664147,-122.6607857",45.5664147,-122.6607857,10
"45.5696768,-122.6820685",45.5696768,-122.6820685,6
"45.5717805,-122.6564844",45.5717805,-122.6564844,7
"45.5517567,-122.5398468",45.5517567,-122.5398468,9
"45.5627673,-122.6598278",45.5627673,-122.6598278,2
"45.5590714,-122.646602",45.5590714,-122.646602,9
"45.5335216,-122.5582468",45.5335216,-122.5582468,11
"45.576983,-122.6819395",45.576983,-122.6819395,5
"45.5477847,-122.6812779",45.5477847,-122.6812779,6
"45.4950271,-122.6076627",45.4950271,-122.6076627,3
"45.5140185,-122.5642134",45.5140185,-122.5642134,5
"45.5311,-122.56249",45.5311,-122.56249,8
"45.5653576,-122.5887471",45.5653576,-122.5887471,5
"45.5191725,-122.5822778",45.5191725,-122.5822778,6
"45.584012,-122.6867319",45.584012,-122.6867319,9
"45.5664345,-122.6205956",45.5664345,-122.6205956,5
"45.5760937,-122.7290524",45.5760937,-122.7290524,5
"45.53577751,-122.620613",45.53577751,-122.620613,12
"45.5103826,-122.6672484",45.5103826,-122.6672484,7
"45.5554316,-122.5890544",45.5554316,-122.5890544,5
"45.5842278,-122.7460359",45.5842278,-122.7460359,7
"45.5159726,-122.6791195",45.5159726,-122.6791195,14
"45.5482433,-122.6409548",45.5482433,-122.6409548,5
"45.5130553,-122.6877767",45.5130553,-122.6877767,3
"45.5127415,-122.6860864",45.5127415,-122.6860864,4
"45.4994679,-122.6854443",45.4994679,-122.6854443,9
"45.5604984,-122.6621038",45.5604984,-122.6621038,3
"45.5081532,-122.5978065",45.5081532,-122.5978065,3
"45.4902606,-122.5785721",45.4902606,-122.5785721,5
"45.5237418,-122.6703424",45.5237418,-122.6703424,6
"45.5739428,-122.7203393",45.5739428,-122.7203393,3
"45.5420646,-122.6308254",45.5420646,-122.6308254,5
"45.5699526,-122.695712",45.5699526,-122.695712,5
"45.5225034,-122.557861",45.5225034,-122.557861,9
"45.5464321,-122.5933109",45.5464321,-122.5933109,10
"45.5590435,-122.6340066",45.5590435,-122.6340066,5
"45.5372206,-122.6875394",45.5372206,-122.6875394,15
"45.5114539,-122.6856399",45.5114539,-122.6856399,4
"45.5840852,-122.7194481",45.5840852,-122.7194481,6
"45.5268753,-122.5377007",45.5268753,-122.5377007,6
"45.4863971,-122.5889343",45.4863971,-122.5889343,12
"45.5849334,-122.7309533",45.5849334,-122.7309533,9
"45.5445104,-122.5799572",45.5445104,-122.5799572,9
"45.5901519,-122.7547835",45.5901519,-122.7547835,9
"45.55862047843104,-122.5638759",45.55862047843104,-122.5638759,8
"45.511907,-122.6294804",45.511907,-122.6294804,12
"45.4970894,-122.686551",45.4970894,-122.686551,6
"45.51184309,-122.68372",45.51184309,-122.68372,23
"45.5886277,-122.7157775",45.5886277,-122.7157775,9
"45.5239729,-122.6932457",45.5239729,-122.6932457,18
"45.5868448,-122.7591351",45.5868448,-122.7591351,9
"45.5338491,-122.5470577",45.5338491,-122.5470577,3
"45.5220396,-122.537573",45.5220396,-122.537573,4
"45.5591179,-122.6535114",45.5591179,-122.6535114,5
"45.5510308,-122.5814223",45.5510308,-122.5814223,7
"45.5257231,-122.6854375",45.5257231,-122.6854375,10
"45.52556242,-122.6892561",45.52556242,-122.6892561,18
"45.5625479,-122.6848349",45.5625479,-122.6848349,5
"45.52871176,-122.674166",45.52871176,-122.674166,9
"45.5264482,-122.583548",45.5264482,-122.583548,6
"45.50509011,-122.57900777",45.50509011,-122.57900777,7
"45.5935627,-122.7354239",45.5935627,-122.7354239,9
"45.5190613,-122.5584874",45.5190613,-122.5584874,6
"45.5337829,-122.5788583",45.5337829,-122.5788583,7
"45.5446211,-122.667667",45.5446211,-122.667667,8
"45.53344,-122.55386",45.53344,-122.55386,14
"45.569917,-122.6744197",45.569917,-122.6744197,5
"45.5628283,-122.6093459",45.5628283,-122.6093459,8
"45.5092949,-122.6846036",45.5092949,-122.6846036,4
"45.4976098,-122.5818846",45.4976098,-122.5818846,6
"45.519326,-122.5468687",45.519326,-122.5468687,5
"45.5870144,-122.6951643",45.5870144,-122.6951643,2
"45.5616203,-122.6616835",45.5616203,-122.6616835,7
"45.4990782,-122.6837991",45.4990782,-122.6837991,6
"45.5014076,-122.5788622",45.5014076,-122.5788622,7
"45.5258454,-122.6814197",45.5258454,-122.6814197,5
"45.53496857,-122.653631",45.53496857,-122.653631,16
"45.4900193,-122.5688739",45.4900193,-122.5688739,9
"45.5205931,-122.637238",45.5205931,-122.637238,6
"45.588297,-122.7380898",45.588297,-122.7380898,9
"45.4988159,-122.6540982",45.4988159,-122.6540982,5
"45.4797127,-122.5686256",45.4797127,-122.5686256,8
"45.5422831,-122.6037107",45.5422831,-122.6037107,5
"45.51158277,-122.682281",45.51158277,-122.682281,14
"45.4941194,-122.5786536",45.4941194,-122.5786536,3
"45.5181656,-122.639145",45.5181656,-122.639145,3
"45.55891838,-122.6824003",45.55891838,-122.6824003,7
"45.5226089,-122.5804512",45.5226089,-122.5804512,6
"45.5808002,-122.7133655",45.5808002,-122.7133655,9
"45.51788377,-122.6920402",45.51788377,-122.6920402,14
"45.4902649,-122.5979411",45.4902649,-122.5979411,9
"45.5965621,-122.7478995",45.5965621,-122.7478995,9
"45.5178988,-122.6600522",45.5178988,-122.6600522,10
"45.5002094,-122.670727",45.5002094,-122.670727,10
